ASTM,Product_Form,Metal_Type,Grade,C_min,C_max,Mn_min,Mn_max,Si_min,Si_max,P_min,P_max,S_min,S_max,Cr_min,Cr_max,Ni_min,Ni_max,Mo_min,Mo_max,Cu_min,Cu_max,N_min,N_max,Ti_min,Ti_max,Nb_min,Nb_max,W_min,W_max,Al_min,Al_max,B_min,B_max,HB_min,HB_max,TS_min,TS_max,HRc_min,HRc_max
B443,Plate / Sheet / Strip,Nickel-Chromium-Molybdenum Alloy (Inconel 625),Alloy 686,,0.01,,0.50,,0.08,,,,19.00,23.00,57.00,63.00,15.00,17.00,,,Bal,Bal,,,,,3.0,4.4,,,,,,,,,,,
B443,Plate / Sheet / Strip,Nickel-Chromium-Molybdenum Alloy (Inconel 625),Alloy 622,,0.02,,0.50,,0.08,,,,20.00,22.50,56.00,63.00,12.50,14.50,0.50,2.50,Bal,Bal,,,,,,,,,,,,,,,,,
B443,Plate / Sheet / Strip,Nickel-Chromium-Molybdenum Alloy (Inconel 625),Alloy C276,,0.02,,1.00,,0.08,,,,14.50,16.50,57.00,63.00,15.00,17.00,0.50,1.00,Bal,Bal,,,,,,,,,,,,,,,,,
B444,Tube (Seamless),Nickel-Chromium-Molybdenum-Columbium Alloy (Inconel 625),Inconel 625,,0.10,,0.50,,0.50,,,,20.00,23.00,58.00,,8.00,10.00,,,,,3.15,4.15,,,,,,,,,,,,,,,
B444,Tube (Seamless),Nickel-Chromium-Molybdenum-Columbium Alloy (Inconel 625),Alloy C276,,0.02,,1.00,,0.08,,,,14.50,16.50,57.00,63.00,15.00,17.00,0.50,1.00,Bal,Bal,,,,,,,,,,,,,,,,,
B446,Bar / Rod / Wire,Nickel-Chromium-Molybdenum-Columbium Alloy (Inconel 625),Inconel 625,,0.10,,0.50,,0.50,,,,20.00,23.00,58.00,,8.00,10.00,,,,,3.15,4.15,,,,,,,,,,,,,,,
B446,Bar / Rod / Wire,Nickel-Chromium-Molybdenum-Columbium Alloy (Inconel 625),Alloy C276,,0.02,,1.00,,0.08,,,,14.50,16.50,57.00,63.00,15.00,17.00,0.50,1.00,Bal,Bal,,,,,,,,,,,,,,,,,
B446,Bar / Rod / Wire,Nickel-Chromium-Molybdenum-Columbium Alloy (Inconel 625),Alloy 625 Grade I,,0.10,,0.50,,0.50,,,,20.00,23.00,58.00,,8.00,10.00,,,,,3.15,4.15,,,,,,,,,,,,,,,
B446,Bar / Rod / Wire,Nickel-Chromium-Molybdenum-Columbium Alloy (Inconel 625),Alloy 625 Grade II,,0.10,,0.50,,0.50,,,,20.00,23.00,58.00,,8.00,10.00,,,,,3.15,4.15,,,,,,,,,,,,,,,
B574,Bar / Rod / Wire,Nickel-Molybdenum Alloy (Hastelloy B / B2),Hastelloy C22,,0.02,,0.50,,0.08,,,,20.00,22.50,56.00,63.00,12.50,14.50,0.50,2.50,Bal,Bal,,,,,,,,,,,,,,,,,
