ASTM,Product_Form,Metal_Type,Grade,C_min,C_max,Mn_min,Mn_max,Si_min,Si_max,P_min,P_max,S_min,S_max,Cr_min,Cr_max,Ni_min,Ni_max,Mo_min,Mo_max,Cu_min,Cu_max,N_min,N_max,Ti_min,Ti_max,Nb_min,Nb_max,W_min,W_max,Al_min,Al_max,B_min,B_max,HB_min,HB_max,TS_min,TS_max,HRc_min,HRc_max
A335,Pipe (Seamless),Ferritic Alloy Steel,P1,0.10,0.20,0.30,0.80,0.00,0.50,0.00,25,0.00,25,0.00,0.00,,,0.44,0.65,,,,,,,,,,,,,,,,,,,,
A335,Pipe (Seamless),Ferritic Alloy Steel,P11,0.05,0.17,0.30,0.60,0.00,0.50,0.00,25,0.00,25,1.00,1.50,,,0.44,0.65,,,,,,,,,,,,,,,,,,,,
A335,Pipe (Seamless),Ferritic Alloy Steel,P22,0.05,0.15,0.30,0.60,0.00,0.50,0.00,25,0.00,25,1.90,2.60,,,0.87,1.13,,,,,,,,,,,,,,,,,,,,
A335,Pipe (Seamless),Ferritic Alloy Steel,P91,0.08,0.12,0.30,0.60,0.20,0.50,0.00,20,0.00,10,8.00,9.50,0.00,0.40,0.85,01.05,0.18,0.25,,,,0.06,0.10,0.18,0.25,,,,,,,,,,,
A351,Casting (Valves / Pumps / Pressure parts),Austenitic & Duplex Stainless Steel,CF3,0.00,0.03,1.00,2.00,0.00,1.50,0.00,40,0.00,30,18.00,21.00,8.00,11.00,2.00,3.00,,,,,,,,,,,,,,,,,,,,
A351,Casting (Valves / Pumps / Pressure parts),Austenitic & Duplex Stainless Steel,CF3A,0.00,0.03,1.00,2.00,0.00,1.50,0.00,40,0.00,30,18.00,21.00,8.00,11.00,2.00,3.00,,,,,,,,,,,,,,,,,,,,
A351,Casting (Valves / Pumps / Pressure parts),Austenitic & Duplex Stainless Steel,CF3M,0.00,0.03,1.00,2.00,0.00,1.50,0.00,40,0.00,30,18.00,21.00,9.00,12.00,2.00,3.00,,,,,,,,,,,,,,,,,,,,
A351,Casting (Valves / Pumps / Pressure parts),Austenitic & Duplex Stainless Steel,CF8,0.00,0.08,1.00,2.00,0.00,1.50,0.00,40,0.00,30,18.00,21.00,8.00,11.00,,,,,,,,,,,,,,,,,,,,,,
A351,Casting (Valves / Pumps / Pressure parts),Austenitic & Duplex Stainless Steel,CF8A,0.00,0.08,1.00,2.00,0.00,1.50,0.00,40,0.00,30,18.00,21.00,8.00,11.00,,,,,,,,,,,,,,,,,,,,,,
A351,Casting (Valves / Pumps / Pressure parts),Austenitic & Duplex Stainless Steel,CF8C,0.04,0.10,1.00,2.00,0.00,1.50,0.00,40,0.00,30,18.00,21.00,9.00,12.00,1.00,2.00,,,,,,,,,,,,,,,,,,,,
A351,Casting (Valves / Pumps / Pressure parts),Austenitic & Duplex Stainless Steel,CF8M,0.00,0.08,1.00,2.00,0.00,1.50,0.00,40,0.00,30,18.00,21.00,9.00,12.00,2.00,3.00,,,,,,,,,,,,,,,,,,,,
A351,Casting (Valves / Pumps / Pressure parts),Austenitic & Duplex Stainless Steel,CF3MN,0.00,0.03,1.00,2.00,0.00,1.50,0.00,40,0.00,30,18.00,21.00,9.00,12.00,2.00,3.00,,,,,,,,,,,,,,,,,,,,
A351,Casting (Valves / Pumps / Pressure parts),Austenitic & Duplex Stainless Steel,CG8M,0.00,0.08,1.00,2.00,0.00,1.50,0.00,40,0.00,30,18.00,21.00,9.00,12.00,2.00,3.00,,,,,,,,,,,,,,,,,,,,
A351,Casting (Valves / Pumps / Pressure parts),Austenitic & Duplex Stainless Steel,CH8M,0.00,0.08,1.00,2.00,0.00,1.50,0.00,40,0.00,30,18.00,21.00,9.00,12.00,2.00,3.00,,,,,,,,,,,,,,,,,,,,
A351,Casting (Valves / Pumps / Pressure parts),Austenitic & Duplex Stainless Steel,CF8CPlus,0.04,0.10,1.00,2.00,0.00,1.50,0.00,40,0.00,30,18.00,21.00,9.00,12.00,1.00,2.00,,,,,,,,,,,,,,,,,,,,
A387,Plate,Chromium-Molybdenum Alloy Steel,Grade 11,0.00,0.15,0.30,0.60,0.00,0.50,0.00,35,0.00,35,1.00,1.50,,,0.44,0.65,,,,,,,,,,,,,,,,,,,,
A387,Plate,Chromium-Molybdenum Alloy Steel,Grade 12,0.00,0.15,0.30,0.60,0.00,0.50,0.00,35,0.00,35,0.80,1.25,,,0.44,0.65,,,,,,,,,,,,,,,,,,,,
A387,Plate,Chromium-Molybdenum Alloy Steel,Grade 22,0.00,0.15,0.30,0.60,0.00,0.50,0.00,35,0.00,35,1.90,2.60,,,0.87,1.13,,,,,,,,,,,,,,,,,,,,
A387,Plate,Chromium-Molybdenum Alloy Steel,Grade 91,0.08,0.12,0.30,0.60,0.20,0.50,0.00,20,0.00,10,8.00,9.50,0.00,0.40,0.85,01.05,0.18,0.25,,,,0.06,0.10,0.18,0.25,,,,,,,,,,,
A403,Wrought Fittings,Austenitic Stainless Steel,WP304,0.00,0.08,0.00,2.00,0.00,1.00,0.00,45,0.00,30,18.00,20.00,8.00,11.00,,,,,,,,,,,,,,,,,,,,,,
A403,Wrought Fittings,Austenitic Stainless Steel,WP304L,0.00,0.03,0.00,2.00,0.00,1.00,0.00,45,0.00,30,18.00,20.00,8.00,12.00,,,,,,,,,,,,,,,,,,,,,,
A403,Wrought Fittings,Austenitic Stainless Steel,WP304H,0.04,0.10,0.00,2.00,0.00,1.00,0.00,45,0.00,30,18.00,20.00,8.00,11.00,,,,,,,,,,,,,,,,,,,,,,
A403,Wrought Fittings,Austenitic Stainless Steel,WP310,0.00,0.25,0.00,2.00,0.00,1.00,0.00,45,0.00,30,24.00,26.00,19.00,22.00,,,,,,,,,,,,,,,,,,,,,,
A403,Wrought Fittings,Austenitic Stainless Steel,WP316,0.00,0.08,0.00,2.00,0.00,1.00,0.00,45,0.00,30,16.00,18.00,10.00,14.00,2.00,3.00,,,,,,,,,,,,,,,,,,,,
A403,Wrought Fittings,Austenitic Stainless Steel,WP316L,0.00,0.03,0.00,2.00,0.00,1.00,0.00,45,0.00,30,16.00,18.00,10.00,14.00,2.00,3.00,,,,,,,,,,,,,,,,,,,,
A403,Wrought Fittings,Austenitic Stainless Steel,WP316H,0.04,0.10,0.00,2.00,0.00,1.00,0.00,45,0.00,30,16.00,18.00,10.00,14.00,2.00,3.00,,,,,,,,....
A403,Wrought Fittings,Austenitic Stainless Steel,WP316Ti,0.00,0.08,0.00,2.00,0.00,1.00,0.00,45,0.00,30,16.00,18.00,10.00,14.00,2.00,3.00,,,,,0.40,0.70,,,,,,,,,,,,,,
